time_origin,time_dest,?column?,?column?,pairs
1449716440,1457627379,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/7d9ebf451d3e6f6c5c8c1cbec4d68c646adb9b10,7
1420475456,1459865244,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/apache/hadoop/commit/917464505c0e930ebeb4c775d829e51c56a48686,7
1449716440,1457947422,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/a2137c976ed9fd5849ca8796c66cdb6a7d36ae69,7
1449716440,1457703925,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/6ddd90b14dc2e77074aa9a39b37afe32e6c38234,7
1449716440,1461002739,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/f426125219187319e7bc221053a7185337d409bb,7
1449716440,1460736677,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/6718de23a502fbaea08f2c160f54ee0a14404d6a,7
1420475456,1461622273,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/apache/hadoop/commit/8eadd7145ef1f9222adbe37d5839e8c72ccb7405,7
1449716440,1449836821,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/ee722c8320f45f334b4a42c0fec64af772fff015,7
1388458829,1460230725,https://github.com/alibaba/jstorm/commit/9b6b33d10687f3640a0ce7170c35b3482a82b922,https://github.com/netty/netty/commit/8fe3c83e4ca9a64c03f5adcb9f056d9e9440a389,7
1449716440,1455264148,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/95e4fc07529c2653f546fe1c3d64215b55420486,7
1388137372,1450452542,https://github.com/alibaba/jstorm/commit/188e2f92a4b766afd4184ffdfb26d4b3d88bfa1a,https://github.com/google/guava/commit/71643094aca01d7386f8a84609aad7fa7632086e,7
1276000528,1348948715,https://github.com/jhy/jsoup/commit/27a52f90a25699bebe23ff1ff94d6db361fdb11d,https://github.com/jhy/jsoup/commit/caf61a4a0778a72ab713f72e9ef749bf373c98ac,6
1388458829,1397478119,https://github.com/alibaba/jstorm/commit/9b6b33d10687f3640a0ce7170c35b3482a82b922,https://github.com/jankotek/mapdb/commit/4a0f8356a4dbea644ef59d1e8042a632ab16ef21,6
1420475456,1437994653,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/orientechnologies/orientdb/commit/84d8dd2678b9e9f7cb864232d44bb91a41c44492,6
